# name: RollerCoasterDataExperienceFULL635
# source: RollerCoasterDataExperienceFULL635.csv
# importDate: 2020-06-09T13:04:50.052Z
# attribute -- name: Coaster, description: Name of the roller coaster, type: categorical, precision: 2, editable: true
# attribute -- name: Park, description: Name of the park where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: City, description: City where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: State, description: State where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: Year Opened, description: Year when roller coaster opened, type: numeric, editable: true
# attribute -- name: TopSpeed, description: Maximum speed of roller coaster, type: numeric, unit: mph, precision: 2, editable: true
# attribute -- name: MaxHeight, description: Highest point of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Duration, description: Time length of roller coaster ride, type: numeric, unit: s, precision: 2, editable: true
# attribute -- name: Type, description: Material of track (Steel or Wooden), type: categorical, precision: 2, editable: true
# attribute -- name: Length, description: Length of roller coaster track, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Drop, description: Length of largest gap between high and low points of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: # of Inversions, description: Number of times roller coaster flips passengers, type: numeric, precision: 2, editable: true
Coaster,Park,City,State,Year Opened,TopSpeed,MaxHeight,Duration,Type,Length,Drop,# of Inversions
Super Flight,Playland Park,Rye,New York,2004,25.7,50,48,Steel,1282.8,,2
Rattlesnake Coaster,Adventureland,Farmingdale,New York,2000,19.9,19.7,,Steel,652.9,,0
Circus Coaster,Luna Park,Brooklyn,New York,2010,18.6,29.5,118,Steel,574.2,,0
Frankie's Mine Train,Great Escape,Queensbury,New York,2005,16.1,13,,Steel,262.5,10,0
Corona Cobra Coaster,Fantasy Forest at the Flushing Meadows Carousel,Flushing,New York,2013,10,11.5,59,Steel,300,10,0
Family Flyer,Playland Park,Rye,New York,2001,8,13,30,Steel,262.5,9,0
Dragon Coaster,Castle Fun Center,Chester,New York,2018,8,9,45,Steel,,,0
Mini Mouse,Victorian Gardens,New York,New York,2003,,8,50,Steel,262,,0
Tickler,Luna Park,Brooklyn,New York,2010,,,144,Steel,1377.9,,0
Thunderbolt,Kennywood,West Mifflin,Pennsylvania,1924,55,70,101,Wood,3250,90,0
Comet,Hersheypark,Hershey,Pennsylvania,1946,50,84,105,Wood,3360,78,0
Jack Rabbit,Kennywood,West Mifflin,Pennsylvania,1920,45,40,96,Wood,2132,70,0
Thunderhawk,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,1924,45,80,78,Wood,2767,65,0
Racer,Kennywood,West Mifflin,Pennsylvania,1927,40,72.5,92,Wood,4500,50,0
Trailblazer,Hersheypark,Hershey,Pennsylvania,1974,35,43,75,Steel,1874,,0
Comet,Waldameer,Erie,Pennsylvania,1951,25,37,84,Wood,1300,25,0
Rollo Coaster,Idlewild & SoakZone,Ligonier,Pennsylvania,1938,25,27,75,Wood,900,25,0
Little Dipper,Conneaut Lake Park,Conneaut Lake,Pennsylvania,1950,7,12,50,Steel,280,6,0
Blue Streak,Conneaut Lake Park,Conneaut Lake,Pennsylvania,1938,50,87,140,Wood,2900,79,0
Sooperdooperlooper,Hersheypark,Hershey,Pennsylvania,1977,45,70,105,Steel,2614,75,1
Phantom's Revenge,Kennywood,West Mifflin,Pennsylvania,1991,85,160,117,Steel,3200,228,0
Steel Force,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,1997,75,200,180,Steel,5600,205,0
Great Bear,Hersheypark,Hershey,Pennsylvania,1998,58,90,175,Steel,2800,124,4
Twister,Knoebels Amusement Resort,Elysburg,Pennsylvania,1999,51.5,101.6,130,Wood,3900,89.6,0
Wildcat,Hersheypark,Hershey,Pennsylvania,1996,50,106,136,Wood,3183,85.2,0
Sidewinder,Hersheypark,Hershey,Pennsylvania,1991,47,116.5,108,Steel,935,105,3
Phoenix,Knoebels Amusement Resort,Elysburg,Pennsylvania,1985,45,78,120,Wood,3200,72,0
Kingdom Coaster,Dutch Wonderland,Lancaster,Pennsylvania,1992,40,55,90,Wood,2000,50,0
Wild Mouse,Idlewild & SoakZone,Ligonier,Pennsylvania,1993,30,56,99,Steel,1640,,0
Exterminator,Kennywood,West Mifflin,Pennsylvania,1999,29.1,42.7,108,Steel,1377.9,50,0
Wild Mouse,Hersheypark,Hershey,Pennsylvania,1999,28,45.9,110,Steel,1213.9,25,0
Vapor Trail,Sesame Place,Langhorne,Pennsylvania,1998,27,56,75,Steel,1300,43,0
Lil' Phantom,Kennywood,West Mifflin,Pennsylvania,1996,15,7,30,Steel,154,6,0
Little Leaper,Lakemont Park,Altoona,Pennsylvania,1993,,15,27,Steel,280,6,0
Skyliner,Lakemont Park,Altoona,Pennsylvania,1987,40,60,120,Wood,2400,45,0
Joust,Dutch Wonderland,Lancaster,Pennsylvania,1998,,17,60,Steel,350,,0
Storm Runner,Hersheypark,Hershey,Pennsylvania,2004,75,150,50,Steel,2600,180,3
Steel Curtain,Kennywood,West Mifflin,Pennsylvania,2019,75,220,120,Steel,4000,197,8
Skyrush,Hersheypark,Hershey,Pennsylvania,2012,75,200,63,Steel,3600,186,0
Possessed,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,2008,70,180,60,Steel,704,165,0
Fahrenheit,Hersheypark,Hershey,Pennsylvania,2008,58,121,85,Steel,2700,115,6
Talon,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,2001,58,135,116,Steel,3110,120,4
Ravine Flyer II,Waldameer,Erie,Pennsylvania,2008,57,80,90,Wood,2900,118,0
Impulse,Knoebels Amusement Resort,Elysburg,Pennsylvania,2015,55,98,103,Steel,1975,92,4
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,2005,53,95,155,Steel,3198,105,7
Lightning Racer,Hersheypark,Hershey,Pennsylvania,2000,51.1,91.6,140,Wood,3393,90,0
Sky Rocket,Kennywood,West Mifflin,Pennsylvania,2010,50,95,65,Steel,2100,90,3
Laff Trakk,Hersheypark,Hershey,Pennsylvania,2015,40,50,70,Steel,1400,50,0
Merlin's Mayhem,Dutch Wonderland,Lancaster,Pennsylvania,2018,38,60,51,Steel,1300,,0
Steel Dragon,Waldameer,Erie,Pennsylvania,2004,37.3,50.8,84,Steel,1391.1,,0
Oscar's Wacky Taxi,Sesame Place,Langhorne,Pennsylvania,2018,34,43,117,Wood,1205,39,0
Crazy Mouse,DelGrosso's Amusement Park,Tipton,Pennsylvania,2004,29.1,42.7,90,Steel,1377.9,,0
Wild Mouse,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,2000,28,49.3,70,Steel,1213.9,25,0
Flying Turns,Knoebels Amusement Resort,Elysburg,Pennsylvania,2013,24,50,113,Wood,1300,,0
Cocoa Cruiser,Hersheypark,Hershey,Pennsylvania,2014,16,13,44,Steel,279,,0
Black Diamond,Knoebels Amusement Resort,Elysburg,Pennsylvania,2011,12,35,230,Steel,,,0
Wacky Worm,DelGrosso's Amusement Park,Tipton,Pennsylvania,2004,10,13,30,Steel,444,12,0
Fiesta Express,Fun Fore All Family Entertainment Center,Cranberry Township,Pennsylvania,2003,,8,120,Steel,262,,0
Ravine Flyer 3,Waldameer,Erie,Pennsylvania,2000,,15,50,Steel,,14,0
Kozmo's Kurves,Knoebels Amusement Resort,Elysburg,Pennsylvania,2009,,17,108,Steel,,,0
