# name: RollerCoasterDataExperienceFULL635
# source: RollerCoasterDataExperienceFULL635.csv
# importDate: 2020-06-09T13:04:50.052Z
# attribute -- name: Coaster, description: Name of the roller coaster, type: categorical, precision: 2, editable: true
# attribute -- name: Park, description: Name of the park where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: City, description: City where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: State, description: State where the roller coaster is located, type: categorical, precision: 2, editable: true
# attribute -- name: Year Opened, description: Year when roller coaster opened, type: date, precision: year, editable: true
# attribute -- name: TopSpeed, description: Maximum speed of roller coaster, type: numeric, unit: mph, precision: 2, editable: true
# attribute -- name: MaxHeight, description: Highest point of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Duration, description: Time length of roller coaster ride, type: numeric, unit: s, precision: 2, editable: true
# attribute -- name: Type, description: Material of track (Steel or Wooden), type: categorical, precision: 2, editable: true
# attribute -- name: Length, description: Length of roller coaster track, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: Drop, description: Length of largest gap between high and low points of roller coaster, type: numeric, unit: ft, precision: 2, editable: true
# attribute -- name: # of Inversions, description: Number of times roller coaster flips passengers, type: numeric, precision: 2, editable: true
Coaster,Park,City,State,Year Opened,TopSpeed,MaxHeight,Duration,Type,Length,Drop,# of Inversions
Pacific Fruit Express,Happy Hollow Park and Zoo,San Jose,California,2010,,16,56,Steel,,,0
Wild Chipmunk,Lakeside Amusement Park,Denver,Colorado,1955,21,41,48,Steel,1150,15,0
Cyclone,Lakeside Amusement Park,Denver,Colorado,1940,55,80,120,Wood,2800,80,0
Twister II,Elitch Gardens,Denver,Colorado,1995,55,100,137,Wood,4640,80,0
Mind Eraser,Elitch Gardens,Denver,Colorado,1997,49.7,109.3,96,Steel,2260.5,86,5
Boomerang,Elitch Gardens,Denver,Colorado,1999,47,116.5,108,Steel,935,125,3
Sidewinder,Elitch Gardens,Denver,Colorado,1995,45,56,66,Steel,635,47,1
Half Pipe,Elitch Gardens,Denver,Colorado,2004,43.5,98.4,120,Steel,229.7,80,0
Cliffhanger,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,2012,25,59,94,Steel,1430,30,0
Wild West Express,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,2012,16.2,10.8,,Steel,197.5,8,0
Blazin' Buckaroo,Elitch Gardens,Denver,Colorado,2013,15,16,,Steel,337,13,0
Dragon Coaster,Mile High Flea Market,Henderson,Colorado,2000,8,9,45,Steel,,,0
Kiddie Coaster,Lakeside Amusement Park,Denver,Colorado,2001,,18,73,Steel,300,10,0
Timber Terror,Silverwood Theme Park,Athol,Idaho,1996,55,85,92,Wood,2700,81,0
Tremors,Silverwood Theme Park,Athol,Idaho,1999,50,85,100,Wood,3158,99,0
Corkscrew,Silverwood Theme Park,Athol,Idaho,1990,46,70,73,Steel,1250,62,2
Aftershock,Silverwood Theme Park,Athol,Idaho,2008,65.6,191.6,92,Steel,1204,177,3
Krazy Koaster,Silverwood Theme Park,Athol,Idaho,2014,,14,,Steel,190,,0
Log Roller Coaster,Yellowstone Bear World,Rexburg,Idaho,2016,,14,,Steel,190,,0
Desperado,Buffalo Bill's Resort & Casino,Primm,Nevada,1994,80,209,163,Steel,5843,225,0
Big Apple Coaster,"New York, New York Hotel & Casino",Las Vegas,Nevada,1997,67,203,160,Steel,4777,144,2
Canyon Blaster,Adventuredome,Las Vegas,Nevada,1993,41,94,90,Steel,2423,66,4
El Loco,Adventuredome,Las Vegas,Nevada,2014,45,90,73,Steel,1300,80,2
Dragon Coaster,Las Vegas Mini Gran Prix,Las Vegas,Nevada,2000,8,9,45,Steel,,,0
Galaxi,Cliff's Amusement Park,Albuquerque,New Mexico,1977,35,45,122,Steel,1650,32,0
New Mexico Rattler,Cliff's Amusement Park,Albuquerque,New Mexico,2002,47,80,75,Wood,2750,75,0
Hurricane,Western Playland,Sunland Park,New Mexico,2013,35,50,50,Steel,1430,30,0
Spinning Coaster,Western Playland,Sunland Park,New Mexico,2014,,14,108,Steel,190,6,0
Spin-O-Rama,Cliff's Amusement Park,Albuquerque,New Mexico,2016,,14,,Steel,190,,0
Ice Mountain Bobsled,Enchanted Forest,Turner,Oregon,1983,35,55,150,Steel,1600,,0
Big Timber Log Ride,Enchanted Forest,Turner,Oregon,1996,30,50,330,Steel,,40,0
Adrenaline Peak,Oaks Amusement Park,Portland,Oregon,2018,45,72,66,Steel,1050,70,3
Jet Star 2,Lagoon,Farmington,Utah,1976,45,44.3,90,Steel,1919.3,42,0
Roller Coaster,Lagoon,Farmington,Utah,1921,45,62,,Wood,2500,,0
Colossus the Fire Dragon,Lagoon,Farmington,Utah,1983,49.1,86.9,105,Steel,2296.6,81,2
Wild Mouse,Lagoon,Farmington,Utah,1998,28,49.3,70,Steel,1213.9,25,0
Puff the Little Fire Dragon,Lagoon,Farmington,Utah,1985,16.2,10.8,,Steel,197.5,,0
Cannibal,Lagoon,Farmington,Utah,2015,70,208,150,Steel,2735,203,4
Wicked,Lagoon,Farmington,Utah,2007,55,110,106,Steel,2050.5,90,1
Spider,Lagoon,Farmington,Utah,2003,37.3,50.8,70,Steel,1391.1,,0
Bombora,Lagoon,Farmington,Utah,2011,31,45,71,Steel,1040,,0
Bat,Lagoon,Farmington,Utah,2005,26,48.6,90,Steel,1122.1,,0
Classic Coaster,Washington State Fair,Puyallup,Washington,1935,50,55,105,Wood,2650,52,0
Wild Thing,Wild Waves Theme & Water Park,Federal Way,Washington,1997,40,75,60,Steel,1565,64,3
Timberhawk: Ride of Prey,Wild Waves Theme & Water Park,Federal Way,Washington,2003,50,75,,Wood,2600,,0
Klondike Gold Rusher,Wild Waves Theme & Water Park,Federal Way,Washington,2002,35,70,54,Steel,2590,35,0
